channel_id,call_sign,clean_name,original_name,city_state,city,state,station_num,unique_station_num,gracenote_id,station_id,logo_color,logo_white,Status
PBS_KOOD,KOOD,PBS KS Bunker Hill (KOOD) [9.1],Smoky Hills PBS,"Bunker Hill, KS",Bunker Hill,KS,9.1,280091,34597,42bf8024-6bd7-4a3f-b945-00a9ae88e8f1,https://image.pbs.org/stations/kood-color-cobranded-logo-9M3XBLL.png,https://image.pbs.org/stations/kood-white-cobranded-logo-U8kNrJF.png,Good
PBS_KTWU,KTWU,PBS KS Topeka (KTWU) [11.1],KTWU/Channel 11,"Topeka, KS",Topeka,KS,11.1,280111,34228,164fbea8-3e32-44f3-a701-20ad6de50b72,https://image.pbs.org/stations/ktwu-color-single-brand-logo-aW2G3PU.png,https://image.pbs.org/stations/ktwu-white-single-brand-logo-Mbvadph.png,Good
PBS_KPTS,KPTS,PBS KS Wichita (KPTS) [8.1],PBS Kansas Public Television,"Wichita, KS",Wichita,KS,8.1,280081,33511,f8cd0e67-9e8d-464d-aaf1-f7874f5f6ae6,https://image.pbs.org/stations/kpts-color-cobranded-logo-THeGpUD.png,https://image.pbs.org/stations/kpts-white-cobranded-logo-VwL2hAd.png,Good
PBS_WKYU,WKYU,PBS KY Bowling Green (WKYU) [24.1],WKU Public Broadcasting,"Bowling Green, KY",Bowling Green,KY,24.1,290241,36143,c7ccd576-ca7b-4129-903b-d893ffea3260,https://image.pbs.org/stations/wkyu-color-cobranded-logo-fN2wihy.png,https://image.pbs.org/stations/wkyu-white-cobranded-logo-SI7q6Z8.png,Good
PBS_WKLE,WKLE,PBS KY Lexington (WKLE) [46.1],KET - Kentucky Educational Television,"Lexington, KY",Lexington,KY,46.1,290461,29020,61059d95-3011-4270-b9d1-17b88ca25b13,https://image.pbs.org/stations/wkle-color-single-brand-logo-OAnywhf.png,https://image.pbs.org/stations/wkle-white-single-brand-logo-AlLcWBq.png,Good
PBS_WLPB,WLPB,PBS LA Baton Rouge (WLPB) [27.1],LPB/LOUISIANA PUBLIC BROADCASTING,"Baton Rouge, LA",Baton Rouge,LA,27.1,300271,24958,3b9285dd-13b3-4fec-a9b0-02b57dd8c7ba,https://image.pbs.org/stations/wlpb-color-single-brand-logo-YwxZbmQ.png,https://image.pbs.org/stations/wlpb-white-single-brand-logo-6AYfuaH.png,Good
PBS_WYES,WYES,PBS LA New Orleans (WYES) [12.1],WYES-TV/New Orleans,"New Orleans, LA",New Orleans,LA,12.1,300121,44907,6c0e9c73-3ad2-45c6-9741-1aa36878006a,https://image.pbs.org/stations/wyes-color-cobranded-logo-ZGeL8mv.png,https://image.pbs.org/stations/wyes-white-cobranded-logo-cuB1Q89.png,Good
PBS_WGBH,WGBH,PBS MA Boston (WGBH) [2.1],GBH,"Boston, MA",Boston,MA,2.1,310021,28055,7387eb2c-e0ce-4069-82d9-08865df87edf,https://image.pbs.org/stations/wgbh-color-single-brand-logo-FDYcuDI.png,https://image.pbs.org/stations/wgbh-white-single-brand-logo-gX4UnNN.png,Good
PBS_WGBY,WGBY,PBS MA Springfield (WGBY) [57.1],New England Public Media,"Springfield, MA",Springfield,MA,57.1,310571,21897,b62fa183-78dc-41d7-bd8a-12602304b118,https://image.pbs.org/stations/wgby-color-single-brand-logo-TwC3wb8.png,https://image.pbs.org/stations/wgby-white-single-brand-logo-uuqyCzZ.png,Good
PBS_WMPB,WMPB,PBS MD Owings Mills (WMPB) [67.1],MPT/Maryland Public Television,"Owings Mills, MD",Owings Mills,MD,67.1,320671,46199,fdb26654-eed0-4858-aa50-a84b538f4747,https://image.pbs.org/stations/wmpb-color-single-brand-logo-3WqIZmJ.png,https://image.pbs.org/stations/wmpb-white-single-brand-logo-dwYo9OV.png,Good
